"Date","Price","Open","High","Low","Vol.","Change %"
"12-02-2024","42,610.00","42,200.00","42,750.00","42,200.00","0.23K","-0.40%"
"09-02-2024","42,780.00","42,900.00","42,900.00","42,730.00","0.24K","-0.23%"
"08-02-2024","42,880.00","42,800.00","42,940.00","42,750.00","0.15K","0.26%"
"07-02-2024","42,770.00","42,720.00","42,800.00","42,600.00","0.22K","0.09%"
"06-02-2024","42,730.00","42,890.00","42,890.00","42,680.00","0.13K","-0.65%"
"05-02-2024","43,010.00","43,000.00","43,050.00","42,990.00","0.05K","-0.05%"
"02-02-2024","43,030.00","43,100.00","43,130.00","42,950.00","0.13K","-0.37%"
"01-02-2024","43,190.00","43,300.00","43,300.00","43,120.00","0.06K","-0.25%"
"31-01-2024","43,300.00","43,350.00","43,350.00","43,220.00","0.06K","-0.23%"
"30-01-2024","43,400.00","43,390.00","43,420.00","43,380.00","0.06K","0.49%"
"29-01-2024","43,190.00","43,300.00","43,300.00","43,110.00","0.05K","-0.02%"
"25-01-2024","43,200.00","43,460.00","43,460.00","43,000.00","0.15K","-0.60%"
"24-01-2024","43,460.00","43,510.00","43,510.00","43,400.00","0.07K","-0.37%"
"23-01-2024","43,620.00","43,650.00","43,650.00","43,580.00","0.06K","0.97%"
"19-01-2024","43,200.00","43,650.00","43,650.00","43,650.00","0.23K","0.68%"
"18-01-2024","42,910.00","42,910.00","42,910.00","42,910.00","","0.21%"
"17-01-2024","42,820.00","42,820.00","42,820.00","42,820.00","","-0.49%"
"16-01-2024","43,030.00","43,030.00","43,030.00","43,030.00","","2.35%"
"15-01-2024","42,040.00","42,200.00","42,200.00","41,350.00","0.39K","-0.69%"
"12-01-2024","42,330.00","43,270.00","43,310.00","42,100.00","0.86K","-2.15%"
"11-01-2024","43,260.00","43,320.00","43,370.00","42,800.00","0.29K","-0.18%"
"10-01-2024","43,340.00","43,310.00","43,480.00","43,310.00","0.21K","0.60%"
"09-01-2024","43,080.00","43,100.00","43,340.00","43,000.00","0.25K","-0.60%"
"08-01-2024","43,340.00","43,550.00","43,550.00","43,250.00","0.11K","-0.25%"
"05-01-2024","43,450.00","43,570.00","43,570.00","43,400.00","0.11K","-0.23%"
